FOLIO,SEXO_ENCUESTADO,EDAD_ENCUESTADO,P1_5,P2_4,P2_5,P2_6_SUMA_SEMANALES_EST,P2_8,P2_10_F,P2_10_G,P2_13,P3_16,P3_17,P5_2_A_1,P5_2_B_1,P5_2_C_1,P5_2_D_1,P5_2_E_1,P5_3_A,P5_3_B,P5_3_C,P5_3_D,P5_3_E,P6_1_A,P6_1_B,P6_1_C,P6_1_D,P6_2,P6_3_HORAS,P6_3_MIN,P6_4,P6_5_HORAS,P6_5_MIN,P6_6,P6_7_HORAS,P6_7_MIN,P6_8_HORAS,P6_8_MIN,P6_12,P6_13,P6_14,P6_16,P6_18,P6_30_A_1,P6_30_A_2,P6_30_B_1,P6_30_B_2,P6_30_C_1,P6_30_C_2,P6_30_D_1,P6_30_D_2,P6_30_E_1,P6_30_E_2,P6_30_F_1,P6_30_F_2,P6_30_G_1,P6_30_G_2,P6_30_H_1,P6_30_H_2,O6_3,O6_5,O6_7,O6_8
1.0,H,38,10,1,1,48,1,4,4,2,2,7,0,0,0,0,0,0,0,0,0,0,4,3,4,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,2,3,3,1,1,1,5,1,1,1,2,1,6,3,6,2,2,1,0.0,0.0,0.0,0.0
2.0,M,48,10,1,1,40,1,5,5,1,2,6,1,0,0,0,0,0,0,0,0,0,3,2,2,2,0.0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,1,1,4,1,0,2,1,1,1,7,1,1,1,3,2,5,1,6,1,7,2,0.0,0.0,0.0,0.0
3.0,H,38,10,3,1,36,0,5,4,3,2,6,0,0,0,1,0,0,0,0,0,0,3,2,2,1,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,2,2,3,1,2,2,3,3,1,2,1,0,2,1,3,1,1,1,0.0,0.0,0.0,0.0
4.0,M,59,1,1,1,70,0,5,5,3,2,6,1,0,0,0,0,1,0,0,0,0,4,4,3,3,0.0,0,0,0,0,0,2,0.0,10.0,2.0,0.0,1,1,1,1,0,3,2,1,1,6,2,1,1,6,2,7,1,7,2,7,1,0.0,0.0,0.3333333333333333,14.0
5.0,M,60,10,9,9,0,0,9,9,9,2,7,1,0,0,0,0,0,0,0,0,0,4,4,4,2,0.0,0,0,0,0,0,4,0.0,30.0,2.0,20.0,0,0,4,1,0,7,1,2,1,3,1,1,1,5,1,6,2,7,2,7,3,0.0,0.0,2.0,16.333333333333336
6.0,H,40,10,1,4,48,1,3,3,3,2,7,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0.0,0,0,0,0,0,7,1.0,20.0,1.0,20.0,0,0,1,2,1,7,1,2,1,5,1,1,1,3,1,7,2,7,2,7,2,0.0,0.0,9.333333333333332,9.333333333333332
7.0,H,65,10,9,9,0,0,9,9,9,2,7,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0.0,0,0,0,0,0,7,1.0,20.0,1.0,20.0,0,0,4,1,0,5,1,1,1,4,1,1,1,5,2,6,1,7,1,7,3,0.0,0.0,9.333333333333332,9.333333333333332
8.0,H,50,10,1,1,35,0,5,5,3,2,7,0,0,0,0,0,0,0,0,0,0,4,4,4,1,3.0,1,20,5,0,30,7,2.0,30.0,1.0,30.0,0,0,1,2,1,5,1,2,1,6,1,1,1,6,2,7,1,7,2,7,3,4.0,2.5,17.5,10.5
9.0,H,20,10,9,9,0,0,9,9,9,2,6,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0.0,0,0,0,0,0,7,3.0,20.0,4.0,30.0,0,1,1,1,0,7,1,2,1,3,3,1,1,3,2,6,2,7,2,7,3,0.0,0.0,23.333333333333336,31.5
10.0,M,48,10,9,9,0,0,9,9,9,2,7,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0.0,0,0,0,0,0,7,0.0,30.0,1.0,20.0,0,0,4,1,0,7,1,2,1,4,1,1,1,6,1,7,1,7,2,7,4,0.0,0.0,3.5,9.333333333333332
